S.No,label,message
1,ham,See you at the party tomorrow.
2,ham,Thanks for your help yesterday!
3,spam,Win $1000 cash now by clicking this link!
4,spam,Act now to secure your loan at 0% interest.
5,ham,Let's go for a walk this evening.
6,ham,The meeting is rescheduled to 3 PM.
7,ham,"Hey, are we still meeting today?"
8,spam,Claim your free prize. Click the link below!
9,ham,The meeting is rescheduled to 3 PM.
10,spam,You've been selected for a special reward.
11,ham,The meeting is rescheduled to 3 PM.
12,spam,Free entry in a weekly contest. Text WIN to 80085!
13,spam,Win $1000 cash now by clicking this link!
14,ham,Let's go for a walk this evening.
15,spam,Earn money from home easily. Join now!
16,ham,The meeting is rescheduled to 3 PM.
17,ham,Don't forget to bring the charger.
18,spam,You've been selected for a special reward.
19,spam,You've been selected for a special reward.
20,spam,Limited time offer! Buy 1 get 1 free.
21,ham,See you at the party tomorrow.
22,spam,You've been selected for a special reward.
23,spam,Earn money from home easily. Join now!
24,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
25,spam,Urgent! Your account has been compromised. Act now!
26,ham,Happy birthday! Hope you have a great day!
27,spam,You've been selected for a special reward.
28,ham,"Hey, are we still meeting today?"
29,spam,Limited time offer! Buy 1 get 1 free.
30,spam,You've been selected for a special reward.
31,ham,See you at the party tomorrow.
32,ham,"Hey, are we still meeting today?"
33,spam,Earn money from home easily. Join now!
34,spam,You've been selected for a special reward.
35,spam,Win $1000 cash now by clicking this link!
36,spam,Free entry in a weekly contest. Text WIN to 80085!
37,spam,Get cheap meds online. No prescription needed.
38,ham,Don't forget to bring the charger.
39,ham,"Hey, are we still meeting today?"
40,ham,Let's catch up this weekend.
41,ham,"Hey, are we still meeting today?"
42,spam,Win $1000 cash now by clicking this link!
43,spam,Earn money from home easily. Join now!
44,spam,Urgent! Your account has been compromised. Act now!
45,ham,Thanks for your help yesterday!
46,spam,Act now to secure your loan at 0% interest.
47,spam,Win $1000 cash now by clicking this link!
48,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
49,spam,Claim your free prize. Click the link below!
50,spam,Get cheap meds online. No prescription needed.
51,spam,Free entry in a weekly contest. Text WIN to 80085!
52,ham,Thanks for your help yesterday!
53,spam,Earn money from home easily. Join now!
54,ham,"Hey, are we still meeting today?"
55,spam,Win $1000 cash now by clicking this link!
56,ham,Let's go for a walk this evening.
57,ham,See you at the party tomorrow.
58,ham,See you at the party tomorrow.
59,ham,See you at the party tomorrow.
60,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
61,ham,Can you send me the report by tonight?
62,ham,I'll call you later.
63,ham,Don't forget to bring the charger.
64,ham,Can you send me the report by tonight?
65,spam,Win $1000 cash now by clicking this link!
66,ham,See you at the party tomorrow.
67,ham,The meeting is rescheduled to 3 PM.
68,ham,I'll call you later.
69,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
70,spam,Act now to secure your loan at 0% interest.
71,ham,"Hey, are we still meeting today?"
72,ham,Thanks for your help yesterday!
73,ham,Let's catch up this weekend.
74,ham,Can you send me the report by tonight?
75,ham,See you at the party tomorrow.
76,ham,I'll call you later.
77,ham,The meeting is rescheduled to 3 PM.
78,ham,Let's go for a walk this evening.
79,spam,Limited time offer! Buy 1 get 1 free.
80,spam,Claim your free prize. Click the link below!
81,spam,Win $1000 cash now by clicking this link!
82,spam,Limited time offer! Buy 1 get 1 free.
83,spam,Win $1000 cash now by clicking this link!
84,ham,Don't forget to bring the charger.
85,spam,Limited time offer! Buy 1 get 1 free.
86,ham,Happy birthday! Hope you have a great day!
87,ham,Thanks for your help yesterday!
88,ham,Happy birthday! Hope you have a great day!
89,spam,Claim your free prize. Click the link below!
90,ham,Let's catch up this weekend.
91,ham,I'll call you later.
92,ham,See you at the party tomorrow.
93,spam,Limited time offer! Buy 1 get 1 free.
94,spam,Win $1000 cash now by clicking this link!
95,ham,I'll call you later.
96,ham,Let's go for a walk this evening.
97,spam,You've been selected for a special reward.
98,ham,Can you send me the report by tonight?
99,ham,Let's catch up this weekend.
100,ham,Can you send me the report by tonight?
101,ham,See you at the party tomorrow.
102,spam,Win $1000 cash now by clicking this link!
103,ham,Thanks for your help yesterday!
104,spam,Claim your free prize. Click the link below!
105,ham,Happy birthday! Hope you have a great day!
106,ham,I'll call you later.
107,ham,Let's go for a walk this evening.
108,spam,Free entry in a weekly contest. Text WIN to 80085!
109,spam,Congratulations! You've won a free ticket to Bahamas. Call now!
110,ham,Can you send me the report by tonight?
111,ham,Happy birthday! Hope you have a great day!
112,spam,Earn money from home easily. Join now!
113,spam,Limited time offer! Buy 1 get 1 free.
114,spam,Win $1000 cash now by clicking this link!
115,spam,You've been selected for a special reward.
